title,link,media_type,post_date,parenthetical
How Big Things Get Done,http://hujhax.livejournal.com/1215233.html#done,book,2026-06-08T00:54:00Z,
The Time Traveler's Guide to Elizabethan England,http://hujhax.livejournal.com/1215233.html#england,book,2026-06-08T00:54:00Z,
Michael Clayton,http://hujhax.livejournal.com/1215233.html#clayton,movie,2026-06-08T00:54:00Z,re-watch
Project Hail Mary,http://hujhax.livejournal.com/1215233.html#mary,movie,2026-06-08T00:54:00Z,
Andor,http://hujhax.livejournal.com/1215233.html#andor,TV,2026-06-08T00:54:00Z,season two
Wonder Man,http://hujhax.livejournal.com/1215233.html#wonder,TV,2026-06-08T00:54:00Z,
You Couldn't Ignore Me If You Tried,http://hujhax.livejournal.com/1212552.html#ignore,book,2026-04-06T21:12:00Z,
Murderbot,http://hujhax.livejournal.com/1212552.html#murderbot,TV,2026-04-06T21:12:00Z,season one
Blues Guitar Survival Guide - Lead,http://hujhax.livejournal.com/1212552.html#guitar,course,2026-04-06T21:12:00Z,
Hellspark,http://hujhax.livejournal.com/1211154.html#hellspark,book,2026-03-16T17:43:00Z,
More Weight,http://hujhax.livejournal.com/1211154.html#salem,book,2026-03-16T17:43:00Z,
Taking Care of Kittens,http://hujhax.livejournal.com/1211154.html#kittens,book,2026-03-16T17:43:00Z,
The Cars: Let the Stories Be Told,http://hujhax.livejournal.com/1209781.html#cars,book,2026-02-15T19:10:00Z,
The History of Sketch Comedy,http://hujhax.livejournal.com/1209781.html#sketch,book,2026-02-15T19:10:00Z,
How to Teach Improvised Comedy,http://hujhax.livejournal.com/1209781.html#improv,book,2026-02-15T19:10:00Z,
Atomic Habits,http://hujhax.livejournal.com/1207404.html#atomic,book,2026-01-05T02:05:00Z,
The Studio,http://hujhax.livejournal.com/1207404.html#studio,TV,2026-01-05T02:05:00Z,season one
Complete Kitten Care,http://hujhax.livejournal.com/1206378.html#kitten,book,2025-12-29T05:18:00Z,
Red Team Blues,http://hujhax.livejournal.com/1206378.html#redteam,book,2025-12-29T05:18:00Z,
Boyhood,http://hujhax.livejournal.com/1206378.html#boyhood,movie,2025-12-29T05:18:00Z,
Wake Up Dead Man,http://hujhax.livejournal.com/1206378.html#ko3,movie,2025-12-29T05:18:00Z,
A City on Mars,http://hujhax.livejournal.com/1205476.html#mars,book,2025-12-12T22:13:00Z,
Everything Is Tuberculosis,http://hujhax.livejournal.com/1205476.html#tuberculosis,book,2025-12-12T22:13:00Z,
The Loss of a Pet,http://hujhax.livejournal.com/1205476.html#loss,book,2025-12-12T22:13:00Z,
Matching Minds with Sondheim,http://hujhax.livejournal.com/1205476.html#sondheim,book,2025-12-12T22:13:00Z,
¿Por Qué?,http://hujhax.livejournal.com/1205476.html#spanish,book,2025-12-12T22:13:00Z,
Daṅgal,http://hujhax.livejournal.com/1205476.html#dangal,movie,2025-12-12T22:13:00Z,
Kusama: Infinity,https://hujhax.livejournal.com/kusama,movie,2025-12-12T22:13:00Z,
Moonlight,http://hujhax.livejournal.com/1205476.html#moonlight,movie,2025-12-12T22:13:00Z,
Shutter Island,http://hujhax.livejournal.com/1205476.html#shutter,movie,2025-12-12T22:13:00Z,
Superman,http://hujhax.livejournal.com/1205476.html#superman,movie,2025-12-12T22:13:00Z,2025
Tokyo Story,http://hujhax.livejournal.com/1205476.html#tokyo,movie,2025-12-12T22:13:00Z,
Zero Dark Thirty,http://hujhax.livejournal.com/1205476.html#zero,movie,2025-12-12T22:13:00Z,
"Great Ideas of Philosophy, 2ⁿᵈ Edition",http://hujhax.livejournal.com/1205476.html#philosophy,course,2025-12-12T22:13:00Z,
"Great Thinkers, Great Theorems",http://hujhax.livejournal.com/1205476.html#theorems,course,2025-12-12T22:13:00Z,
American Born Chinese,http://hujhax.livejournal.com/1200700.html#abc,book,2025-09-01T20:51:00Z,
Clue: Candlestick,http://hujhax.livejournal.com/1200700.html#clue,book,2025-09-01T20:51:00Z,
The Coen Brothers,http://hujhax.livejournal.com/1200700.html#coens,book,2025-09-01T20:51:00Z,
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",http://hujhax.livejournal.com/1200700.html#jeanne,movie,2025-09-01T20:51:00Z,
Severance,http://hujhax.livejournal.com/1200700.html#severance,TV,2025-09-01T20:51:00Z,season 2
Towards Zero,http://hujhax.livejournal.com/1198650.html#zero,book,2025-07-28T18:12:00Z,
Dunkirk,http://hujhax.livejournal.com/1198650.html#dunkirk,movie,2025-07-28T18:12:00Z,
Twin Peaks: Fire Walk With Me,http://hujhax.livejournal.com/1197940.html#ring,movie,2025-07-13T20:23:00Z,
The Decagon House Murders,http://hujhax.livejournal.com/1196818.html#decagon,book,2025-07-07T01:46:00Z,
Saving Time,http://hujhax.livejournal.com/1196818.html#time,book,2025-07-07T01:46:00Z,
The Elephant Man,http://hujhax.livejournal.com/1196818.html#i-am-not-an-animal,movie,2025-07-07T01:46:00Z,
Fast & Furious,http://hujhax.livejournal.com/1196818.html#fast4,movie,2025-07-07T01:46:00Z,
Sense and Sensibility,http://hujhax.livejournal.com/1196818.html#sense,movie,2025-07-07T01:46:00Z,
The Fast and the Furious,http://hujhax.livejournal.com/1196260.html#fast1,movie,2025-06-16T05:18:00Z,
2 Fast 2 Furious,http://hujhax.livejournal.com/1196260.html#fast2,movie,2025-06-16T05:18:00Z,
The Fast and the Furious: Tokyo Drift,http://hujhax.livejournal.com/1196260.html#fast3,movie,2025-06-16T05:18:00Z,
Middleditch and Schwartz,http://hujhax.livejournal.com/1196260.html#middleditch,movie,2025-06-16T05:18:00Z,
The Bezzle,http://hujhax.livejournal.com/1195025.html#bezzle,book,2025-05-26T21:56:00Z,
Cool Town,http://hujhax.livejournal.com/1195025.html#athens,book,2025-05-26T21:56:00Z,
A Complete Unknown,http://hujhax.livejournal.com/1195025.html#dylan,movie,2025-05-26T21:56:00Z,
Vertigo,http://hujhax.livejournal.com/1195025.html#vertigo,movie,2025-05-26T21:56:00Z,
Euler's Pioneering Equation,http://hujhax.livejournal.com/1191648.html#euler,book,2025-03-17T03:47:00Z,
Frostbite,http://hujhax.livejournal.com/1191648.html#frostbite,book,2025-03-17T03:47:00Z,
Girls5Eva,http://hujhax.livejournal.com/1191648.html#girls5eva,TV,2025-03-17T03:47:00Z,season one
The Chaos Machine,http://hujhax.livejournal.com/1190057.html#chaos,book,2025-02-03T02:31:00Z,
Twin Peaks,http://hujhax.livejournal.com/1190057.html#owls,TV,2025-02-03T02:31:00Z,season two
Further Explorations: 50 Years of Text Games,http://hujhax.livejournal.com/1189332.html#explorations,book,2025-01-26T21:37:00Z,
Star Trek: Lower Decks,http://hujhax.livejournal.com/1189332.html#decks,TV,2025-01-26T21:37:00Z,season five
Midnight in Chernobyl,http://hujhax.livejournal.com/1187986.html#chernobyl,book,2025-01-05T22:18:00Z,
The SpongeBob Musical: Live On Stage!,http://hujhax.livejournal.com/1187986.html#spongebob,TV,2025-01-05T22:18:00Z,
Decorate Like a Designer,http://hujhax.livejournal.com/1187986.html#decorate,course,2025-01-05T22:18:00Z,
Opposable Thumbs,http://hujhax.livejournal.com/1186861.html#thumbs,book,2024-12-30T01:10:00Z,
Recursion,http://hujhax.livejournal.com/1186861.html#recursion,book,2024-12-30T01:10:00Z,
Wicked (part one),http://hujhax.livejournal.com/1186861.html#wicked,movie,2024-12-30T01:10:00Z,
Greek and Roman Technology,http://hujhax.livejournal.com/1186861.html#technology,course,2024-12-30T01:10:00Z,
The Good Life,http://hujhax.livejournal.com/1185232.html#happiness,book,2024-11-25T06:11:00Z,
Twin Peaks,http://hujhax.livejournal.com/1185232.html#pie,TV,2024-11-25T06:11:00Z,season one
Difficult Conversations,http://hujhax.livejournal.com/1183501.html#difficult,book,2024-10-28T01:33:00Z,
Breaking News,http://hujhax.livejournal.com/1183501.html#breaking,TV,2024-10-28T01:33:00Z,season seven
Fibonacci Numbers and the Golden Ratio,http://hujhax.livejournal.com/1183501.html#fibonacci,course,2024-10-28T01:33:00Z,
What an Owl Knows,http://hujhax.livejournal.com/1182780.html#owl,book,2024-10-13T18:57:00Z,
Parks and Recreation,http://hujhax.livejournal.com/1182780.html#parks,TV,2024-10-13T18:57:00Z,season four
How to Become the Dark Lord and Die Trying,http://hujhax.livejournal.com/1181893.html#dark,book,2024-09-29T20:58:00Z,
How Digital Technology Shapes Us,http://hujhax.livejournal.com/1181893.html#digital,course,2024-09-29T20:58:00Z,
MCU: The Reign of Marvel Studios,http://hujhax.livejournal.com/1180359.html#mcu,book,2024-09-02T05:14:00Z,
Turning Red,http://hujhax.livejournal.com/1179741.html#red,movie,2024-08-26T02:23:00Z,
Shogun,http://hujhax.livejournal.com/1179741.html#shogun,TV,2024-08-26T02:23:00Z,season one
The Queen of the Sciences: A History of Mathematics,http://hujhax.livejournal.com/1179741.html#queen,course,2024-08-26T02:23:00Z,audiocourse
Euler's Gem,http://hujhax.livejournal.com/1179023.html#euler,book,2024-08-12T04:45:00Z,
Game Changer,http://hujhax.livejournal.com/1179023.html#game,TV,2024-08-12T04:45:00Z,season six
How the Great Migration Changed America,http://hujhax.livejournal.com/1179023.html#migration,course,2024-08-12T04:45:00Z,audiocourse
Midnight Run,http://hujhax.livejournal.com/1177566.html#midnight,movie,2024-07-14T23:04:00Z,
Ducks,http://hujhax.livejournal.com/1177049.html#ducks,book,2024-07-08T02:05:00Z,
Seduction,http://hujhax.livejournal.com/1176162.html#hughes,book,2024-06-30T21:14:00Z,
Starter Villain,http://hujhax.livejournal.com/1176162.html#starter,book,2024-06-30T21:14:00Z,
The Nice Guys,http://hujhax.livejournal.com/1176162.html#nice,movie,2024-06-30T21:14:00Z,
Fifty Years of Text Games,http://hujhax.livejournal.com/1174928.html#games,book,2024-06-02T18:55:00Z,
The Number Ones,http://hujhax.livejournal.com/1174928.html#number,book,2024-06-02T18:55:00Z,
How To with John Wilson,http://hujhax.livejournal.com/1174186.html#howto,TV,2024-05-26T23:03:00Z,
Make Some Noise,http://hujhax.livejournal.com/1174186.html#noise,TV,2024-05-26T23:03:00Z,seasons one-two
The Art of Teaching,http://hujhax.livejournal.com/1173348.html#teaching,course,2024-05-19T16:51:00Z,
Mission Impossible: Dead Reckoning Part One,http://hujhax.livejournal.com/1173120.html#mission,movie,2024-05-12T21:04:00Z,
The Best Laid Plans,http://hujhax.livejournal.com/1172675.html#plans,book,2024-05-06T00:49:00Z,
Teenage Mutant Ninja Turtles: Mutant Mayhem,http://hujhax.livejournal.com/1172675.html#tmnt,movie,2024-05-06T00:49:00Z,
The Thomas Crown Affair,http://hujhax.livejournal.com/1172675.html#thomas,movie,2024-05-06T00:49:00Z,
Master and Commander,http://hujhax.livejournal.com/1171749.html#boats,movie,2024-04-29T02:16:00Z,
Um... Actually,http://hujhax.livejournal.com/1171749.html#um,TV,2024-04-29T02:16:00Z,season one
The Case of the Golden Idol,http://hujhax.livejournal.com/1171749.html#idol,TV,2024-04-29T02:16:00Z,
This Idea Is Brilliant,http://hujhax.livejournal.com/1170964.html#idea,book,2024-04-14T21:23:00Z,
The Fabelmans,http://hujhax.livejournal.com/1170964.html#fabelmans,movie,2024-04-14T21:23:00Z,
Breaking News,http://hujhax.livejournal.com/1170964.html#news,TV,2024-04-14T21:23:00Z,seasons one-five
The Girlfriend Experience,http://hujhax.livejournal.com/1170964.html#girlfriend,TV,2024-04-14T21:23:00Z,season one
How to Read and Understand Shakespeare,http://hujhax.livejournal.com/1170964.html#shakespeare,course,2024-04-14T21:23:00Z,
The Holdovers,http://hujhax.livejournal.com/1169729.html#holdovers,movie,2024-03-24T22:52:00Z,
Past Lives,http://hujhax.livejournal.com/1169729.html#past,movie,2024-03-24T22:52:00Z,
Game Changer,http://hujhax.livejournal.com/1169729.html#game,TV,2024-03-24T22:52:00Z,seasons one-five
The Super Mario Bros. Movie,http://hujhax.livejournal.com/1168784.html#smb,movie,2024-03-03T19:33:00Z,
Picard,http://hujhax.livejournal.com/1168784.html#picard,TV,2024-03-03T19:33:00Z,season three
Experiencing Shakespeare,http://hujhax.livejournal.com/1168784.html#shakespeare,course,2024-03-03T19:33:00Z,
Lower Decks,http://hujhax.livejournal.com/1165009.html#decks,TV,2023-12-31T22:17:00Z,season four
Discrete Mathematics,http://hujhax.livejournal.com/1165009.html#math,course,2023-12-31T22:17:00Z,
Funk Bass for Beginners,http://hujhax.livejournal.com/1165009.html#bass,course,2023-12-31T22:17:00Z,
Hell or High Water,http://hujhax.livejournal.com/1164501.html#hell,movie,2023-12-25T07:14:00Z,
Indiana Jones and the Dial of Destiny,http://hujhax.livejournal.com/1164501.html#indy,movie,2023-12-25T07:14:00Z,
Zodiac,http://hujhax.livejournal.com/1164501.html#zodiac,movie,2023-12-25T07:14:00Z,
